Date,Relative_interest_rate,Open,High,Low,Close,Adj Close,AU_interest_rate,US_interest_rate
Jan-13,0.96,1.038799,1.059165,1.038217,1.041884,1.041884,3,0.13
Feb-13,0.96,1.043297,1.045828,1.018558,1.023227,1.023227,3,0.13
Mar-13,0.96,1.021826,1.049803,1.011757,1.040875,1.040875,3,0.13
Apr-13,0.96,1.041309,1.058391,1.022275,1.034404,1.034404,3,0.13
May-13,0.95,1.037215,1.038314,0.953016,0.966931,0.966931,2.75,0.13
Jun-13,0.95,0.957304,0.977536,0.911328,0.912825,0.912825,2.75,0.13
Jul-13,0.95,0.912992,0.931367,0.894935,0.907276,0.907276,2.75,0.13
Aug-13,0.95,0.895576,0.924813,0.885081,0.890234,0.890234,2.5,0.13
Sep-13,0.95,0.894294,0.952381,0.892618,0.930146,0.930146,2.5,0.13
Oct-13,0.95,0.932401,0.97561,0.929627,0.947032,0.947032,2.5,0.13
Nov-13,0.95,0.946253,0.954107,0.905715,0.911328,0.911328,2.5,0.13
Dec-13,0.95,0.911162,0.916842,0.882379,0.891981,0.891981,2.5,0.13
Jan-14,0.95,0.891504,0.908513,0.866176,0.879585,0.879585,2.5,0.13
Feb-14,0.95,0.875733,0.907935,0.873286,0.89617,0.89617,2.5,0.13
Mar-14,0.95,0.892618,0.929714,0.889284,0.926012,0.926012,2.5,0.13
Apr-14,0.95,0.927214,0.946163,0.92081,0.927472,0.927472,2.5,0.13
May-14,0.95,0.928453,0.941088,0.920386,0.930925,0.930925,2.5,0.13
Jun-14,0.95,0.930925,0.944733,0.923361,0.941708,0.941708,2.5,0.13
Jul-14,0.95,0.94304,0.949668,0.92816,0.932575,0.932575,2.5,0.13
Aug-14,0.95,0.93006,0.937559,0.924214,0.933445,0.933445,2.5,0.13
Sep-14,0.95,0.93301,0.939938,0.868734,0.871688,0.871688,2.5,0.13
Oct-14,0.95,0.874049,0.891186,0.864454,0.882457,0.882457,2.5,0.13
Nov-14,0.95,0.874202,0.879507,0.844096,0.844309,0.844309,2.5,0.13
Dec-14,0.95,0.843811,0.854117,0.809258,0.818398,0.818398,2.5,0.13
Jan-15,0.95,0.817127,0.829394,0.773395,0.778877,0.778877,2.5,0.13
Feb-15,0.94,0.77682,0.791264,0.762776,0.781922,0.781922,2.25,0.13
Mar-15,0.94,0.785114,0.793714,0.756315,0.765814,0.765814,2.25,0.13
Apr-15,0.94,0.761789,0.807559,0.753523,0.799488,0.799488,2.25,0.13
May-15,0.94,0.789889,0.816326,0.761847,0.765814,0.765814,2,0.13
Jun-15,0.94,0.764,0.785114,0.760225,0.767283,0.767283,2,0.13
Jul-15,0.94,0.769349,0.773694,0.723694,0.729448,0.729448,2,0.13
Aug-15,0.94,0.730087,0.743882,0.707314,0.714082,0.714082,2,0.13
Sep-15,0.94,0.711035,0.728014,0.691181,0.700378,0.700378,2,0.13
Oct-15,0.94,0.700967,0.738225,0.700427,0.709019,0.709019,2,0.13
Nov-15,0.94,0.713725,0.728385,0.702099,0.718391,0.718391,2,0.13
Dec-15,0.81,0.723275,0.738607,0.711238,0.728491,0.728491,2,0.38
Jan-16,0.81,0.727167,0.730834,0.6832,0.706864,0.706864,2,0.38
Feb-16,0.81,0.707114,0.725795,0.697691,0.712809,0.712809,2,0.38
Mar-16,0.81,0.714184,0.77232,0.711035,0.766107,0.766107,2,0.38
